地区,Year,DispIncome,HousePrice,GDP,Books,EPS,STRHE,STRHS,Museums,ESH,STRPS,CPI,EHE,EducFund
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2010,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2011,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2012,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2013,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2014,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2015,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2016,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2017,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2018,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2019,,,,,,,,,,,,,
URL: https://data.stats.gov.cn/easyquery.htm?cn=E0103,2020,,,,,,,,,,,,,
Shanghai,2010,30436.0,14290.0,79396.0,,2084.0,17.03,10.1,27.0,1878.0,15.51,103.1,4300.0,5582736.0
Shanghai,2011,34731.0,13565.83,85897.0,2.94,1929.0,16.92,9.7,36.0,1430.0,15.81,105.2,3556.0,7106255.0
Shanghai,2012,38550.0,13869.88,89613.0,3.03,2047.0,16.93,9.51,90.0,1389.0,15.82,102.8,3481.0,
Shanghai,2013,42174.0,16192.0,95746.0,3.0,2105.0,17.14,9.45,100.0,1308.0,15.92,102.3,3421.0,9069715.0
Shanghai,2014,45966.0,16415.0,102827.0,3.04,2082.0,17.02,9.27,103.0,1197.0,15.6,102.7,3348.0,9892212.0
Shanghai,2015,49867.0,21501.0,109186.0,3.13,2209.0,16.74,9.09,99.0,1149.0,15.27,102.4,3330.0,10131153.0
Shanghai,2016,54305.0,25910.0,121369.0,3.17,2304.0,16.11,8.93,99.0,1120.0,14.79,103.7,3327.0,11218946.0
Shanghai,2017,58988.0,24866.0,133489.0,3.21,2367.0,16.82,8.86,98.0,1099.0,14.35,101.2,3498.0,12104556.0
Shanghai,2018,64183.0,28981.11,145767.0,3.26,2363.0,16.34,8.62,100.0,1082.0,14.09,102.3,3517.0,13412840.0
Shanghai,2019,69442.0,32926.0,153299.0,3.32,2357.0,15.94,8.57,98.0,1070.0,13.9,105.0,3582.0,14125408.0
Shanghai,2020,72232.0,36741.0,156803.0,3.25,2354.0,16.25,8.74,107.0,1117.0,14.01,105.3,3722.0,14427631.0
Yunnan,2010,8184.0,2893.0,16866.0,,2159.0,17.76,15.37,120.0,2835.0,18.32,103.7,1391.0,5336317.0
Yunnan,2011,9739.0,3388.41,20653.0,0.37,2360.0,18.49,15.38,84.0,2905.0,18.06,104.9,1520.0,6582935.0
Yunnan,2012,11233.0,3861.01,23992.0,0.4,2424.0,18.5,15.6,85.0,2975.0,17.4,102.7,1566.0,
Yunnan,2013,12578.0,4176.0,27665.0,0.38,2555.0,18.19,15.6,84.0,2860.0,17.03,103.1,1662.0,9006912.0
Yunnan,2014,13772.0,4451.0,30217.0,0.4,2658.0,18.84,15.53,86.0,2897.0,16.94,102.4,1731.0,9199396.0
Yunnan,2015,15223.0,4800.0,32117.0,0.41,2745.0,19.11,15.2,86.0,2897.0,16.8,101.9,1819.0,10455388.0
Yunnan,2016,16720.0,4812.0,35051.0,0.44,2773.0,18.8,14.96,90.0,2965.0,16.59,103.5,1889.0,11886446.0
Yunnan,2017,18348.0,5664.0,39458.0,0.44,2922.0,19.35,14.74,125.0,3094.0,16.51,100.4,1999.0,13292088.0
Yunnan,2018,20084.0,7384.44,44446.0,0.45,2981.0,20.44,14.62,137.0,3147.0,16.62,100.5,2166.0,14543783.0
Yunnan,2019,22082.0,8010.0,49323.0,0.48,3103.0,21.34,14.55,140.0,3244.0,16.69,106.6,2401.0,14833632.0
Yunnan,2020,23295.0,8267.0,52047.0,0.5,3443.0,22.7,13.31,161.0,3546.0,16.4,111.6,2648.0,16571342.0
Inner Mongolia,2010,12538.0,2983.0,33262.0,,1572.0,17.2,15.81,54.0,3581.0,12.6,103.2,1884.0,4143731.0
Inner Mongolia,2011,14715.0,3340.67,38276.0,0.44,1813.0,17.63,15.76,59.0,3330.0,12.36,105.6,1920.0,5040005.0
Inner Mongolia,2012,16800.0,3656.41,42441.0,0.49,1983.0,17.59,15.52,65.0,3206.0,12.09,103.1,2042.0,
Inner Mongolia,2013,18693.0,3863.0,46320.0,0.53,2070.0,17.87,14.94,72.0,3048.0,11.85,103.2,2137.0,6121559.0
Inner Mongolia,2014,20559.0,3833.0,49585.0,0.58,2238.0,18.17,14.4,75.0,2941.0,12.09,101.6,2156.0,6393778.0
Inner Mongolia,2015,22310.0,3939.0,52972.0,0.6,2369.0,18.3,13.58,84.0,2779.0,12.91,101.1,2035.0,7072130.0
Inner Mongolia,2016,24127.0,4042.0,56560.0,0.68,2419.0,17.37,12.89,87.0,2669.0,13.47,102.2,1937.0,7624806.0
Inner Mongolia,2017,26212.0,4239.0,61196.0,0.71,2540.0,17.47,12.22,93.0,2559.0,13.3,99.8,1969.0,7601337.0
Inner Mongolia,2018,28376.0,5339.79,66491.0,0.75,2439.0,17.41,11.6,109.0,2449.0,13.33,102.0,1984.0,7759014.0
Inner Mongolia,2019,30555.0,6122.0,71170.0,0.79,2395.0,17.64,10.99,125.0,2330.0,13.25,105.4,2053.0,8105720.0
Inner Mongolia,2020,31497.0,6654.0,71640.0,0.85,2405.0,17.61,10.82,172.0,2356.0,13.13,105.7,2127.0,8510492.0
